Line   | Depth | Action     | Tag        | Details
--------------------------------------------------------------------------------
117    | 0     | OPEN       | div        | classes=[max-w-7xl, mx-auto, px-4]
118    | 1     | OPEN       | div        | classes=[flex, items-center, gap-4]
128    | 2     | OPEN       | div        | classes=[h-4, w-px, bg-slate-300]
128    | 2     | CLOSE      | div        | (opened at line 128)
130    | 1     | CLOSE      | div        | (opened at line 118)
135    | 0     | CLOSE      | div        | (opened at line 117)
138    | 0     | OPEN       | main       | classes=[max-w-7xl, mx-auto, p-4]
141    | 1     | OPEN       | section    | classes=[text-center, space-y-6, pt-8]
149    | 1     | CLOSE      | section    | (opened at line 141)
152    | 1     | OPEN       | section    | classes=[bg-white, rounded-xl, border]
153    | 2     | OPEN       | div        | classes=[px-6, py-4, border-b]
157    | 2     | CLOSE      | div        | (opened at line 153)
158    | 2     | OPEN       | div        | classes=[overflow-x-auto]
270    | 2     | CLOSE      | div        | (opened at line 158)
271    | 1     | CLOSE      | section    | (opened at line 152)
274    | 1     | OPEN       | section    | classes=[bg-white, rounded-xl, border]
275    | 2     | OPEN       | div        | classes=[px-6, py-4, border-b]
279    | 2     | CLOSE      | div        | (opened at line 275)
280    | 2     | OPEN       | div        | classes=[overflow-x-auto]
380    | 2     | CLOSE      | div        | (opened at line 280)
381    | 1     | CLOSE      | section    | (opened at line 274)
384    | 1     | OPEN       | section    | classes=[bg-slate-50, rounded-xl, border-2]
389    | 2     | OPEN       | div        | classes=[grid, grid-cols-1, md:grid-cols-2]
391    | 3     | OPEN       | div        | classes=[bg-white, p-6, rounded-lg]
409    | 3     | CLOSE      | div        | (opened at line 391)
412    | 3     | OPEN       | div        | classes=[bg-white, p-6, rounded-lg]
419    | 4     | OPEN       | div        | classes=[bg-slate-50, p-3, rounded]
420    | 5     | OPEN       | div        | 
420    | 5     | CLOSE      | div        | (opened at line 420)
421    | 5     | OPEN       | div        | 
421    | 5     | CLOSE      | div        | (opened at line 421)
422    | 5     | OPEN       | div        | classes=[pt-1, border-t, border-slate-200]
422    | 5     | CLOSE      | div        | (opened at line 422)
423    | 4     | CLOSE      | div        | (opened at line 419)
424    | 3     | CLOSE      | div        | (opened at line 412)
425    | 2     | CLOSE      | div        | (opened at line 389)
428    | 2     | OPEN       | div        | classes=[mt-8, overflow-hidden, rounded-lg]
455    | 2     | CLOSE      | div        | (opened at line 428)
459    | 1     | CLOSE      | section    | (opened at line 384)
462    | 1     | OPEN       | section    | classes=[bg-white, rounded-xl, border]
463    | 2     | OPEN       | div        | classes=[px-6, py-4, border-b]
467    | 2     | CLOSE      | div        | (opened at line 463)
468    | 2     | OPEN       | div        | classes=[overflow-x-auto]
531    | 2     | CLOSE      | div        | (opened at line 468)
532    | 1     | CLOSE      | section    | (opened at line 462)
535    | 1     | OPEN       | div        | classes=[grid, grid-cols-1, gap-12]
537    | 2     | OPEN       | section    | classes=[modern-card, p-10, border-2]
538    | 3     | OPEN       | div        | classes=[flex, flex-col, md:flex-row]
539    | 4     | OPEN       | div        | classes=[w-full, md:w-1/3, space-y-4]
548    | 4     | CLOSE      | div        | (opened at line 539)
549    | 4     | OPEN       | div        | classes=[w-full, md:w-2/3, grid]
551    | 5     | OPEN       | div        | classes=[bg-white, p-6, rounded-3xl]
552    | 6     | OPEN       | div        | 
553    | 7     | OPEN       | div        | classes=[flex, items-center, gap-2]
556    | 7     | CLOSE      | div        | (opened at line 553)
567    | 6     | CLOSE      | div        | (opened at line 552)
568    | 6     | OPEN       | div        | classes=[mt-6, pt-6, border-t]
572    | 6     | CLOSE      | div        | (opened at line 568)
573    | 5     | CLOSE      | div        | (opened at line 551)
575    | 5     | OPEN       | div        | classes=[bg-slate-50, p-6, rounded-3xl]
576    | 6     | OPEN       | div        | 
577    | 7     | OPEN       | div        | classes=[flex, items-center, gap-2]
580    | 7     | CLOSE      | div        | (opened at line 577)
591    | 6     | CLOSE      | div        | (opened at line 576)
592    | 6     | OPEN       | div        | classes=[mt-6, pt-6, border-t]
596    | 6     | CLOSE      | div        | (opened at line 592)
597    | 5     | CLOSE      | div        | (opened at line 575)
598    | 4     | CLOSE      | div        | (opened at line 549)
599    | 3     | CLOSE      | div        | (opened at line 538)
602    | 3     | OPEN       | div        | classes=[mt-12, bg-white, rounded-3xl]
603    | 4     | OPEN       | div        | classes=[bg-blue-600, px-6, py-4]
607    | 4     | CLOSE      | div        | (opened at line 603)
608    | 4     | OPEN       | div        | classes=[overflow-x-auto]
657    | 4     | CLOSE      | div        | (opened at line 608)
658    | 3     | CLOSE      | div        | (opened at line 602)
661    | 3     | OPEN       | div        | classes=[mt-12, grid, grid-cols-1]
662    | 4     | OPEN       | div        | classes=[space-y-6]
669    | 5     | OPEN       | div        | classes=[bg-blue-50, p-6, rounded-3xl]
674    | 5     | CLOSE      | div        | (opened at line 669)
675    | 5     | OPEN       | div        | classes=[bg-slate-50, p-6, rounded-3xl]
680    | 5     | CLOSE      | div        | (opened at line 675)
683    | 5     | OPEN       | div        | classes=[bg-amber-50, p-8, rounded-[2rem]]
688    | 6     | OPEN       | div        | classes=[space-y-4]
689    | 7     | OPEN       | div        | classes=[flex, gap-4, items-start]
692    | 7     | CLOSE      | div        | (opened at line 689)
693    | 7     | OPEN       | div        | classes=[flex, gap-4, items-start]
696    | 7     | CLOSE      | div        | (opened at line 693)
697    | 7     | OPEN       | div        | classes=[flex, gap-4, items-start]
703    | 7     | CLOSE      | div        | (opened at line 697)
704    | 6     | CLOSE      | div        | (opened at line 688)
705    | 5     | CLOSE      | div        | (opened at line 683)
706    | 4     | CLOSE      | div        | (opened at line 662)
708    | 4     | OPEN       | div        | classes=[bg-white, rounded-3xl, border]
747    | 5     | OPEN       | div        | classes=[p-6, bg-slate-50, border-t]
751    | 6     | OPEN       | div        | classes=[grid, grid-cols-1, md:grid-cols-2]
752    | 7     | OPEN       | div        | classes=[bg-white, p-4, rounded-2xl]
